indice_tiempo,total,agri_ganaderia_caza_silvicultura,agri_ganaderia_caza_serv_conexos,silvicultura_extr_madera_serv_conexos,pesca,explotacion_minas_canteras,extr_c_lig_turba_petro_crudo_gas_nat_act_rel_exc_act_prosp,extr_minerales_metaliferos_explotacion_minas_canteras_ncp,ind_manufacturera,elaboracion_prods_alimenticios_bebidas,elaboracion_prods_tabaco,fabr_prods_textiles,fabr_prendas_vestir_terminacion_tenido_pieles,curtido_term_cueros_fabr_art_marroq_talab_calzado_partes,prod_mad_fabr_mad_corcho_exc_mue_fabr_art_paja_mat_trenz,fabr_papel_prods_papel,edicion_impresion_reprod_grabaciones,fabr_coque_prods_refinacion_petro_comb_nuclear,fabr_sustancias_prods_quimicos,fabr_prods_caucho_plastico,fabr_prods_minerales_no_metalicos,fabr_metales_comunes,fabr_prods_elaborados_metal_excepto_maquinaria_equipo,fabr_maquinaria_equipo_ncp,fabr_maquinaria_oficina_contabilidad_informatica,fabr_maquinaria_aparatos_electricos_ncp,fabr_eq_aparatos_radio_television_comunicaciones,fabr_instrumentos_medicos_opticos_precision_fabr_relojes,fabr_vehiculos_automotores_remolques_semirremolques,fabr_equipo_transporte_ncp,fabr_muebles_colchones_inds_manufactureras_ncp,reciclamiento,reparacion_mantenimiento_instalacion_maq_eq,electricidad_gas_agua,generacion_captacion_distribucion_energia_electrica,fabr_gas_distribucion_combs_gaseosos_por_tuberias,captacion_depuracion_distribucion_agua,construccion,comercio_mayorista_minorista_reparaciones,hoteles_restaurantes,hoteles_campamentos_otros_tipos_hospedaje_temporal,restaurantes_bares_cantinas,transporte_comunicaciones,transporte,comunicaciones,intermediacion_financiera,intermediacion_financiera_otros_serv_financieros,serv_seguros,serv_auxiliares_actividad_financiera,act_inmobiliarias_empresariales_alquiler,serv_inmobiliarios_bienes_propios_arrendados,resto,adm_publica_defensa_planes_seg_soc_afiliacion_obligatoria,ensenianza,ensenianza_publica,ensenianza_privada,serv_sociales_salud,salud_publica,salud_privada,otras_act_serv_comunitarias_sociales_personales,eliminacion_desperdicios_aguas_resid_sanea_serv_similares,asociaciones,serv_culturales_deportivos_otras_act,serv_organizaciones_organos_extraterritoriales,no_clasificados
2006-07-01,1486.120421404656,871.7767082786572,872.8031220551514,845.4483515188787,4855.585123859487,4251.454272611616,5541.249619114545,2004.7891690297888,1801.2859405670995,1621.0483684394724,2824.3978439542184,1436.668843318044,1082.4142933261496,1289.593125105116,1099.7368990780517,1971.6214909240475,1833.7416477231964,4040.451018098911,2912.6170983528664,1736.1332894685206,1717.663006539023,3274.779185716407,1441.7047010330089,1738.2535660482629,1566.8922833294184,1720.925245034436,2485.850521920898,1672.8765626412687,2356.600731081788,1557.2008634444521,1244.0064516331652,1732.7363438316183,1571.806687025112,2819.216238791894,3027.0037395907434,3110.208094949374,2045.8131749726974,1178.9157587075367,1301.8609490363522,986.260418616422,1254.7116896165062,876.1376624700576,1959.631192523883,1863.7887554885465,2306.81310879464,2539.375100121226,3076.812938031964,2138.765740929277,2008.7934126036846,1280.2193466853018,1246.630002874961,1282.5485580032296,0.0,906.9313997218909,0.0,906.9313997218909,1280.1520743153194,0.0,1280.1520743153194,1334.4026012527484,1959.5297037888133,1367.6508442690042,1190.2813523128132,1144.3815417517008,1491.9065668698202
2006-10-01,1762.6031586846934,1031.2359378479537,1031.3914590247657,1027.124699303038,4249.4163458435,4965.4387503470425,6382.033619697582,2483.596565323629,2168.9681102178865,1967.450278072782,3262.5984156462587,1738.7942508618912,1263.1861605589177,1540.2321659507716,1322.9312373937003,2413.4662919282564,2261.733618214723,5195.529638168611,3593.884558453805,2070.210334272336,2089.706616739284,3702.486757321429,1688.8519032367092,2044.6508821736625,1826.2544865980542,2051.975629210174,3240.4417278147093,1934.305082775834,2888.6383852826516,1866.1823138202135,1493.3170836121762,1984.2829304523063,1856.6829119919905,3367.7445193077147,3611.8848206105868,3687.4135867989385,2461.769553499616,1381.966224689056,1554.2997920043351,1162.255358634652,1472.5911841210452,1036.730579052983,2341.4754788689806,2233.753510940178,2736.650133596531,3004.8201076211803,3536.263070934021,2614.3756273020063,2451.760595573676,1512.5622644439204,1411.413603117098,1519.3724199871249,0.0,1064.9934003098926,0.0,1064.9934003098926,1492.9369645111865,0.0,1492.9369645111865,1621.2233121475842,2323.132738818278,1669.894343788368,1449.2728174679648,1327.1059554618473,1755.756866596178
2007-01-01,1683.9273416464648,952.2614226188778,952.959809193382,932.9213113475947,4080.5331812102636,5179.451752104691,6737.9132402880405,2471.802825647608,2024.0361523924662,1856.4444051560913,3752.9690696421517,1527.5380332642405,1143.7894588332117,1402.5513632879363,1225.9135517097957,2221.7237537830583,2131.993813913693,6099.49051925682,3523.5310292547388,1922.6223005024071,1935.4563577735519,3123.4656074466284,1538.8432123412406,1828.6348395268785,1663.0590280038684,1954.6738651836577,2867.6343936605463,1877.183265772575,2614.6746105483626,1703.550523238111,1384.9265782826715,1799.9545062499997,1722.9282547848138,3678.7949498546714,4056.762517269331,3983.1462745048007,2421.3021291827754,1284.499944520371,1460.8591702883414,1113.9213988073486,1415.8439049905485,984.6227346278603,2180.534867692599,2057.0402739288297,2638.837105969614,3556.170355753133,4754.269216253223,2597.392563057216,2686.4193697819705,1409.7865348132887,1308.543974349959,1416.4981245217223,0.0,975.921768323089,0.0,975.921768323089,1496.116496348316,0.0,1496.116496348316,1467.9863527578857,2090.5107520504444,1496.1263063970125,1331.589696424401,1277.1467393197843,1598.524758612902
2007-04-01,1930.4587986534038,1070.3290006668233,1069.7368649341327,1086.347801500899,5566.359833961791,5353.033956753088,6916.78591286673,2621.7240219588666,2369.363733165205,2127.152377185144,3158.519746304524,1825.5409883947102,1343.6859810917751,1700.829043780862,1399.2614675101738,2564.191061792188,2462.3153826619555,5606.7671490556,3956.2410734198243,2299.3504779924797,2328.5174772444407,4117.641147891887,1871.7460872082377,2226.8697306553404,1916.516414922476,2262.08474129465,3257.0960334294195,2298.563883924259,3153.9050537856087,2047.5556318017154,1629.7461869652332,2307.631908075701,2046.0061069065678,3842.9770520612037,4167.009049429097,3946.9514998616455,2838.24213325259,1566.4196341049544,1681.8443182096894,1273.5032298438118,1625.5119538849217,1132.6527776920157,2579.2715560509578,2458.1938739864045,3036.1861430522536,3313.838266522476,4025.5552796309307,2769.0707233057014,2588.773395036301,1596.4446493855069,1517.3841478679844,1601.5343477766276,0.0,1260.1544587973133,0.0,1260.1544587973133,1710.4664231911484,0.0,1710.4664231911484,1722.1784748949017,2490.4075628024666,1769.3432736221744,1541.0051457770771,1507.28662487785,1894.0536111072568
2007-07-01,1790.270495560638,1011.8862069186804,1012.8855985276399,986.0858163259128,4508.415480924078,5531.177789102351,7294.961638827274,2435.4610364183404,2151.2236284970295,1980.329301304781,2973.965439993085,1658.6678503961705,1241.7866571466225,1536.8607106199163,1293.136610459946,2267.941276371919,2234.4014944707546,4824.837852867817,3480.387020822675,2110.304594628448,2084.753719218716,3826.1306780743234,1707.8173256929663,2028.6802418823454,1796.1238491698534,2054.8457078581437,3066.1462452963387,2070.1674769949923,2755.108438121461,1889.1574971910184,1514.8967695283943,2081.194799971477,1897.0858529911766,3505.884448973586,3823.151531661465,3581.672457650705,2545.2136425754416,1473.1130338422056,1561.8811928361893,1223.0485907701675,1552.507791236328,1089.3138270291063,2367.300672684638,2261.1618216463703,2768.639434259197,3009.471222139404,3634.025369221933,2529.1451926198633,2367.065963671614,1529.117454044585,1512.6737690016828,1530.182028519416,0.0,1135.9392838488304,0.0,1135.9392838488304,1520.5791800511165,0.0,1520.5791800511165,1626.569425901875,2365.688228379554,1648.436865885059,1476.5787081500705,1419.1138689972036,1723.9139968755449
2007-10-01,2176.3103344104275,1297.6239850281456,1297.7390615281229,1294.5010898893213,4160.3440969214225,6602.013140761017,8472.29695754374,3280.8313377606423,2668.0045682007008,2406.3449016770537,3810.279209911932,2135.8524412888246,1574.9935344171467,1957.4465189460275,1595.6634457423038,2875.52539424645,2771.6675369756813,6277.373725096622,4324.45438421553,2618.8915290541736,2609.194057476633,4469.285807581095,2142.6970166341016,2570.028011359125,2222.277909321656,2501.8471338827335,4029.774484857347,2460.1494336294827,3496.7385810997844,2398.9167927238714,1886.0787261865878,2558.724843525129,2283.5245865783245,4168.150300600101,4451.4859381323695,4666.776161436057,3100.0300783614966,1816.172590324018,1913.7045408097676,1430.5172966697223,1817.164150883805,1275.1250970560625,2881.165497666814,2747.7458887850994,3386.696316842825,3617.790819280107,4328.202287026926,3059.5563711324303,2921.660297381518,1806.7407937686319,1761.3990411161692,1809.5544436669027,0.0,1375.502120891139,0.0,1375.502120891139,1880.3954069114545,0.0,1880.3954069114545,1991.0164812191429,2849.3801177366418,2047.382601622808,1788.410100585791,1698.629278977709,2174.1329501635864
2008-01-01,2053.0743867826354,1185.0479958498715,1186.7058440726246,1139.5519894599638,3548.616261655918,6266.454134976201,8127.519361236491,3111.1667775867204,2469.145629104384,2288.7072613300725,4037.5015479178937,1744.7856889038915,1366.953412173242,1694.60651592246,1459.3439948713499,2723.011851877798,2579.379396460637,7121.69111213915,4314.031536076502,2362.4568030265964,2290.0133718532807,3556.318314817313,1905.7025383766895,2231.377794258272,2000.4185185257625,2376.357304856131,3597.1494500100644,2175.102836680801,3320.788936203905,2128.7205145356843,1746.9377530921042,2290.08660590376,2122.435663310202,4332.061533941571,4797.16412517026,4697.31715144666,2800.1474608764674,1644.40975518889,1790.8307592157653,1294.3584057438172,1648.9618391872234,1142.2019548009114,2695.8020026263644,2503.305772496098,3438.8749848650755,4076.649657598951,5313.4633110817695,3065.6851081064674,3106.4244219321386,1712.1051800554944,1652.600474908154,1715.818125594691,0.0,1306.6185293324702,0.0,1306.6185293324702,1780.0416773724492,0.0,1780.0416773724492,1796.9056410677024,2553.1840557280084,1793.5459190197175,1664.3829161532383,1523.87264574468,2137.709966407361
2008-04-01,2432.748410454372,1349.9343905089338,1350.4336069637873,1336.6681073848008,5778.2323236785505,7383.818706774303,9654.583237183459,3472.3734747249346,2927.71000208479,2722.1189262959942,3638.364584443295,2240.9387640529285,1681.245353176903,2115.103182254839,1687.0004838056375,3126.0995771747475,3013.597008191268,6781.468405036725,5015.2487590997025,2742.7263215017138,2872.420271313865,4852.83609698251,2272.705545196226,2706.3356304321333,2414.150034600399,2688.762680204962,4487.266750296788,2595.1901586428203,3717.1891993158283,2577.954639359341,2085.555007666424,2853.2302088921283,2528.9550368903433,4849.4219917984,5208.355520989308,5257.763704305965,3583.1652037250087,2046.5857914699518,2115.898169576829,1576.3378524352345,2051.433112226165,1390.085896673604,3153.766260041237,3016.613872378387,3691.4692843319467,4256.008436254674,5228.186537178243,3494.5315500004253,3243.7573126949537,2033.7493468273701,1959.1305351132955,2038.354551293054,0.0,1719.8106922866996,0.0,1719.8106922866996,2064.3064537656783,0.0,2064.3064537656783,2197.5791341300082,3078.5344926702037,2260.826706196309,1983.625796798946,1894.205097379259,2558.164854905991
2008-07-01,2286.3541171979614,1359.7181358347873,1363.874287091186,1253.6717726226034,4886.411377163596,7278.457310525823,9688.881766900513,3146.1801179467193,2728.1049571157146,2529.688654004392,3752.981277008446,1999.6305702957088,1598.0466350134202,2045.8418969186546,1587.4270106649126,2919.6134555165686,2679.333222004849,6191.601885643612,4423.675127702296,2502.640659342787,2630.141006471773,4839.562964480319,2167.9206367566203,2597.4402415029695,2263.516097062048,2583.3128413180675,4243.897322012602,2448.100522735,3482.4179081582406,2411.767461563399,1950.8074070226328,2801.199173993587,2482.752903463484,4439.756961525613,4759.712396720375,4684.3282168714,3361.5058246936874,1934.8270451799995,1990.4320240544453,1535.4718809419855,1984.8960014264128,1357.8990439079153,2949.1406341759416,2819.3942883622694,3457.8433545033,3749.52525022667,4455.553279836033,3214.56009108016,2951.759779867475,1973.5764946647892,1944.931928631816,1975.4003676852142,0.0,1540.8677005968907,0.0,1540.8677005968907,1933.5831815568865,0.0,1933.5831815568865,2055.61958925467,3018.8967057887235,2076.436571349163,1870.7446727821323,1777.2103586435678,2316.568034611513
2008-10-01,2760.799669027838,1609.9148031494929,1612.3121263044218,1543.5632276740241,4928.713504966298,8611.97499590948,11290.953829650029,3996.852781853795,3355.9353889835807,3113.2289387903456,4646.828694169033,2487.23145949097,1917.3798124060982,2466.220925147926,1899.8056334085327,3553.9944599285923,3390.4652340215716,7494.0735850221245,5455.683085764746,3110.7284958259856,3229.4806420604677,5668.099237100699,2681.534918897879,3147.965491421189,2834.59583617565,3063.3790716114536,5906.175023593654,2944.7426574759156,4417.8109743044315,2930.222799042255,2360.8221618163684,3155.1119145281027,2932.595624225352,5333.139282201954,5683.731002462163,5592.072282014086,4158.374742761549,2268.5630002088315,2389.9724169985348,1788.9140070517437,2326.7586685149067,1577.6116468112411,3574.9545006909625,3407.9897657501338,4211.037842584287,4901.976704618292,5569.3524532332885,4494.408144136848,3637.960008160854,2296.4491736262044,2198.6161496078253,2302.6566487146483,0.0,1913.5738008279318,0.0,1913.5738008279318,2409.082124660061,0.0,2409.082124660061,2515.2031848453294,3644.27006188107,2557.1290240758935,2282.8193218800907,2067.7240983835413,2811.7488176842967
2009-01-01,2547.045748835862,1487.1838883601547,1490.1026990553041,1404.144499556587,3869.5207518611255,8203.869897356573,10770.522106613244,3762.254172913924,2985.7025488881163,2788.8953178470024,5101.413065377548,2074.877145269834,1661.998333813946,2046.1953638031073,1629.0926059387223,3278.1553279473005,3102.7950601128855,9085.672157386203,5279.9326669395605,2722.989489161158,2771.494540235964,4283.253644764367,2282.3791654298548,2709.7772192008842,2407.8860070379205,2864.6475151261043,5104.425579733069,2660.982419985788,3633.650914043142,2800.1070932050584,2083.2556958606706,2611.8572774046174,2534.1723888895085,5727.264051704358,6355.126190550478,6075.2088707881585,3657.131199159049,1995.3696920995621,2199.513202349358,1666.4058484034533,2129.2760267465683,1476.6040040837654,3336.5546781470052,3123.958750351043,4179.84614431917,5166.03445481188,6608.981054242829,3982.616918260278,3844.660073468692,2165.2897965059024,1986.4973202306885,2176.92936643946,0.0,1699.4232036721974,0.0,1699.4232036721974,2232.9323307735904,0.0,2232.9323307735904,2253.6167549388692,3320.0502128320486,2283.3181947268527,2034.632163889719,2063.9760440045684,2566.1193891420758
